time_s,leg,north_m,east_m,along_m,cross_m,agl_ft,altitude_ft,speed_kts,vertical_speed_fps,heading_deg,pitch_deg,roll_deg,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,flaps_cmd,gear_cmd,brake_cmd
0.000,Upwind,0.596,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0018,0.0000,0.1726,0.5000,1.0000,1.0000
0.201,Upwind,0.596,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0319,0.0000,0.0721,0.5000,1.0000,1.0000
0.399,Upwind,0.596,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0617,0.0000,0.0000,0.5000,1.0000,1.0000
0.590,Upwind,0.596,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.0000,0.5000,1.0000,1.0000
0.795,Upwind,0.596,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,0.0175,0.5000,1.0000,0.0000
0.990,Upwind,0.596,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.1152,0.5000,1.0000,0.0000
1.191,Upwind,0.596,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.2157,0.5000,1.0000,0.0000
1.389,Upwind,0.596,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.450,0.000,0.0000,0.0629,0.0000,0.3145,0.5000,1.0000,0.0000
1.599,Upwind,0.596,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.4199,0.5000,1.0000,0.0000
1.801,Upwind,0.596,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.5207,0.5000,1.0000,0.0000
1.990,Upwind,0.596,0.000,0.000,0.000,3.691,3.691,0.000,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.6152,0.5000,1.0000,0.0000
2.189,Upwind,0.596,0.000,0.000,0.000,3.691,3.691,0.002,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.7147,0.5000,1.0000,0.0000
2.391,Upwind,0.597,0.000,0.001,0.000,3.691,3.691,0.011,0.000,0.000,0.449,0.000,0.0000,0.0628,0.0000,0.8157,0.5000,1.0000,0.0000
2.593,Upwind,0.599,0.000,0.003,0.000,3.691,3.691,0.029,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,0.9165,0.5000,1.0000,0.0000
2.797,Upwind,0.603,0.000,0.007,0.000,3.691,3.691,0.058,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
2.992,Upwind,0.612,0.000,0.016,0.000,3.691,3.691,0.099,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.191,Upwind,0.625,0.000,0.029,0.000,3.691,3.691,0.156,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.395,Upwind,0.645,0.000,0.050,0.000,3.691,3.691,0.231,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.599,Upwind,0.675,0.000,0.079,0.000,3.691,3.691,0.327,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.797,Upwind,0.715,0.000,0.120,0.000,3.691,3.691,0.449,0.000,0.000,0.449,0.000,0.0000,0.0629,0.0000,1.0000,0.5000,1.0000,0.0000
3.991,Upwind,0.770,0.000,0.175,0.000,3.691,3.691,0.600,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
4.191,Upwind,0.843,0.000,0.247,0.000,3.691,3.691,0.786,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
4.394,Upwind,0.937,0.000,0.341,0.000,3.691,3.691,1.012,0.000,0.000,0.450,0.000,0.0000,0.0630,0.0000,1.0000,0.5000,1.0000,0.0000
4.589,Upwind,1.046,0.000,0.450,0.000,3.691,3.691,1.285,0.000,0.000,0.450,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
4.793,Upwind,1.208,0.000,0.613,0.000,3.691,3.691,1.611,0.000,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
4.995,Upwind,1.397,0.000,0.801,0.000,3.691,3.691,1.999,0.000,0.000,0.451,0.000,0.0000,0.0631,0.0000,1.0000,0.5000,1.0000,0.0000
5.194,Upwind,1.629,0.000,1.034,0.000,3.691,3.691,2.456,0.000,0.000,0.451,0.000,0.0000,0.0632,0.0000,1.0000,0.5000,1.0000,0.0000
5.392,Upwind,1.914,0.000,1.318,0.000,3.691,3.691,2.991,0.000,0.000,0.452,0.000,0.0000,0.0633,0.0000,1.0000,0.5000,1.0000,0.0000
